CommitId,RefactoringType,OriginalFile,EvolvedFile,OldCodeElement, newCodeElement
12b11bf39cb4800e3fa57fb1112c5fbda26de3df,MOVE_CLASS,src/org/animals/Tiger.java,src/org/felines/Tiger.java,"org.animals.Tiger","org.felines.Tiger"
05c1e773878bbacae64112f70964f4f2f7944398,PULL_UP_OPERATION,src/org/felines/Cat.java,src/org/felines/Feline.java,"public meow() : void","public meow() : void"
05c1e773878bbacae64112f70964f4f2f7944398,EXTRACT_SUPERCLASS,src/org/felines/Cat.java,src/org/felines/Cat.java,"org.felines.Cat","org.felines.Cat"
60226924fead7d0c4646df4f4fd65667e83da6dc,MOVE_CLASS,src/org/animals/Bird.java,src/org/birds/Bird.java,"org.animals.Bird","org.birds.Bird"
60226924fead7d0c4646df4f4fd65667e83da6dc,MOVE_CLASS,src/org/animals/Chicken.java,src/org/birds/Chicken.java,"org.animals.Chicken","org.birds.Chicken"
60226924fead7d0c4646df4f4fd65667e83da6dc,MOVE_CLASS,src/org/animals/Duck.java,src/org/birds/Duck.java,"org.animals.Duck","org.birds.Duck"
70b71b7fd3c5973511904c468e464d4910597928,MOVE_CLASS,src/org/animals/Cat.java,src/org/felines/Cat.java,"org.animals.Cat","org.felines.Cat"
63cbed99a601e79c6a0ae389b2a57acdbd3e1b44,RENAME_CLASS,src/org/animals/Cow.java,src/org/animals/CowRenamed.java,"org.animals.Cow","org.animals.CowRenamed"
58495630295833c9d73559bd958c2f95339f9c62,PULL_UP_OPERATION,src/org/animals/Chicken.java,src/org/animals/Bird.java,"public layEgg() : void","public layEgg() : void"
58495630295833c9d73559bd958c2f95339f9c62,PULL_UP_OPERATION,src/org/animals/Duck.java,src/org/animals/Bird.java,"public layEgg() : void","public layEgg() : void"
58495630295833c9d73559bd958c2f95339f9c62,EXTRACT_SUPERCLASS,src/org/animals/Chicken.java,src/org/animals/Chicken.java,"org.animals.Chicken","org.animals.Chicken"
58495630295833c9d73559bd958c2f95339f9c62,EXTRACT_SUPERCLASS,src/org/animals/Duck.java,src/org/animals/Duck.java,"org.animals.Duck","org.animals.Duck"
40950c317bd52ea5ce4cf0d19707fe426b66649c,EXTRACT_OPERATION,src/org/animals/Dog.java,src/org/animals/Dog.java,"public bark() : void","public takeABreath() : void"
40950c317bd52ea5ce4cf0d19707fe426b66649c,EXTRACT_OPERATION,src/org/animals/Dog.java,src/org/animals/Dog.java,"N/A","N/A"
36287f7c3b09eff78395267a3ac0d7da067863fd,PULL_UP_OPERATION,src/org/animals/Labrador.java,src/org/animals/Dog.java,"public getAge() : int","public getAge() : int"
36287f7c3b09eff78395267a3ac0d7da067863fd,PULL_UP_OPERATION,src/org/animals/Poodle.java,src/org/animals/Dog.java,"public getAge() : int","public getAge() : int"
36287f7c3b09eff78395267a3ac0d7da067863fd,PULL_UP_ATTRIBUTE,src/org/animals/Labrador.java,src/org/animals/Dog.java,"private age : int","private age : int"
36287f7c3b09eff78395267a3ac0d7da067863fd,PULL_UP_ATTRIBUTE,src/org/animals/Poodle.java,src/org/animals/Dog.java,"private age : int","private age : int"
